graph,graph_label,strategy,repeat,fraction_removed,removed_count,lcc_frac,avg_path_length,global_efficiency
ER,"ER(n=120, p=0.01)",random,0,0.0,0,0.45,8.000698812019566,0.04570819622553627
ER,"ER(n=120, p=0.01)",random,0,0.008333333333333333,1,0.425,7.92,0.0431236006020663
ER,"ER(n=120, p=0.01)",random,0,0.1,12,0.24166666666666667,6.226600985221675,0.028993265974055122
ER,"ER(n=120, p=0.01)",random,0,0.2,24,0.16666666666666666,4.678947368421053,0.024425236069972885
ER,"ER(n=120, p=0.01)",random,0,0.3,36,0.1,3.3181818181818183,0.019724817637898535
ER,"ER(n=120, p=0.01)",random,0,0.4,48,0.058333333333333334,2.380952380952381,0.013217266562336986
ER,"ER(n=120, p=0.01)",random,0,0.5,60,0.03333333333333333,1.6666666666666667,0.01007532956685499
ER,"ER(n=120, p=0.01)",random,0,0.6,72,0.03333333333333333,1.6666666666666667,0.012263593380614656
ER,"ER(n=120, p=0.01)",random,0,0.7,84,0.025,1.3333333333333333,0.010317460317460317
ER,"ER(n=120, p=0.01)",random,0,0.8,96,0.016666666666666666,1.0,0.010869565217391304
ER,"ER(n=120, p=0.01)",random,0,0.9,108,0.016666666666666666,1.0,0.015151515151515152
ER,"ER(n=120, p=0.01)",random,0,1.0,120,0.0,,0.0
ER,"ER(n=120, p=0.01)",degree,0,0.0,0,0.45,8.000698812019566,0.04570819622553627
ER,"ER(n=120, p=0.01)",degree,0,0.008333333333333333,1,0.4,7.75354609929078,0.03999399891582359
ER,"ER(n=120, p=0.01)",degree,0,0.1,12,0.041666666666666664,2.0,0.008941963770624204
ER,"ER(n=120, p=0.01)",degree,0,0.2,24,0.025,1.3333333333333333,0.003399122807017544
ER,"ER(n=120, p=0.01)",degree,0,0.3,36,0.016666666666666666,1.0,0.0005737234652897303
ER,"ER(n=120, p=0.01)",degree,0,0.4,48,0.008333333333333333,,0.0
ER,"ER(n=120, p=0.01)",degree,0,0.5,60,0.008333333333333333,,0.0
ER,"ER(n=120, p=0.01)",degree,0,0.6,72,0.008333333333333333,,0.0
ER,"ER(n=120, p=0.01)",degree,0,0.7,84,0.008333333333333333,,0.0
ER,"ER(n=120, p=0.01)",degree,0,0.8,96,0.008333333333333333,,0.0
ER,"ER(n=120, p=0.01)",degree,0,0.9,108,0.008333333333333333,,0.0
ER,"ER(n=120, p=0.01)",degree,0,1.0,120,0.0,,0.0
ER,"ER(n=120, p=0.01)",betweenness,0,0.0,0,0.45,8.000698812019566,0.04570819622553627
ER,"ER(n=120, p=0.01)",betweenness,0,0.008333333333333333,1,0.25,4.9655172413793105,0.0312086570632362
ER,"ER(n=120, p=0.01)",betweenness,0,0.1,12,0.041666666666666664,2.0,0.008812161070728047
ER,"ER(n=120, p=0.01)",betweenness,0,0.2,24,0.016666666666666666,1.0,0.0037280701754385964
ER,"ER(n=120, p=0.01)",betweenness,0,0.3,36,0.016666666666666666,1.0,0.004016064257028112
ER,"ER(n=120, p=0.01)",betweenness,0,0.4,48,0.016666666666666666,1.0,0.003912363067292645
ER,"ER(n=120, p=0.01)",betweenness,0,0.5,60,0.016666666666666666,1.0,0.003389830508474576
ER,"ER(n=120, p=0.01)",betweenness,0,0.6,72,0.016666666666666666,1.0,0.0035460992907801418
ER,"ER(n=120, p=0.01)",betweenness,0,0.7,84,0.016666666666666666,1.0,0.0031746031746031746
ER,"ER(n=120, p=0.01)",betweenness,0,0.8,96,0.016666666666666666,1.0,0.0036231884057971015
ER,"ER(n=120, p=0.01)",betweenness,0,0.9,108,0.008333333333333333,,0.0
ER,"ER(n=120, p=0.01)",betweenness,0,1.0,120,0.0,,0.0
WS,"WS(n=120, k=2, p=0.1)",random,0,0.0,0,1.0,30.536834733893556,0.08290234116302649
WS,"WS(n=120, k=2, p=0.1)",random,0,0.008333333333333333,1,0.85,25.92234517569404,0.07542045593984695
WS,"WS(n=120, k=2, p=0.1)",random,0,0.1,12,0.20833333333333334,6.986666666666666,0.0443952069463644
WS,"WS(n=120, k=2, p=0.1)",random,0,0.2,24,0.15833333333333333,5.52046783625731,0.036225480172848545
WS,"WS(n=120, k=2, p=0.1)",random,0,0.3,36,0.1,3.484848484848485,0.03222470380387764
