experiment,graph_id,graph_type,model,repetition,attack_id,attack_type,strategy,fraction_removed,nodes_removed,gcc_fraction,gcc_size,avg_path_length_gcc,diameter_gcc,global_efficiency,global_clustering,avg_local_clustering,mean_degree,max_degree,degree_std
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.0,0,1.0,1000,3.260036036036036,6,0.3245843176507079,0.010565090673575129,0.011135467155823192,9.97,20,3.0635110575938844
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.05,50,0.95,950,3.301902279407687,6,0.32090059712066576,0.010654561704729873,0.011894703435358478,9.47578947368421,19,3.032272581465962
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.1,100,0.9,900,3.3406921270547523,6,0.3175804391729257,0.010486359540129442,0.012574035222126037,9.028888888888888,19,2.9805385212312236
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.15000000000000002,150,0.85,850,3.386422781126585,6,0.31372821543360185,0.010140681840131347,0.012077185213863414,8.545882352941176,18,2.9331193169279084
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.2,200,0.8,800,3.4349468085106385,6,0.30973013141517225,0.010324258182930559,0.012279226288417464,8.0775,18,2.865570405695871
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.25,250,0.75,750,3.501311971517579,6,0.3043548434953794,0.010814606741573033,0.012913296289766878,7.56,18,2.7141112725899803
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.30000000000000004,300,0.7,700,3.570222767218475,6,0.29920185298696966,0.010118911502401098,0.012003980146837288,7.082857142857143,16,2.6254779934094956
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.35000000000000003,350,0.65,650,3.646063766741733,7,0.2938808987614929,0.010759493670886076,0.011974290666598358,6.64,15,2.510825791218131
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.4,400,0.6,600,3.720289371174179,7,0.28890896202608163,0.010453872288526875,0.011621979871979871,6.203333333333333,15,2.446491819365481
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.45,450,0.549,549,3.8653823142275936,7,0.27840282607456723,0.009769713886950453,0.009240678513405785,5.6036363636363635,14,2.3384504299264375
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.5,500,0.496,496,3.9700065167807104,7,0.26892108025560124,0.011303692539562924,0.011866766566766567,5.148,13,2.2773001558863513
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.55,550,0.445,445,4.111539629517158,8,0.25954632870208855,0.0121580547112462,0.01635786435786436,4.68,12,2.170468459419149
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.6000000000000001,600,0.395,395,4.318730321917368,9,0.24849448024823428,0.013636363636363636,0.015785353535353534,4.175,11,2.084316434709471
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.65,650,0.345,345,4.530872935625211,9,0.23814110285967824,0.010900282599919257,0.012727891156462586,3.7314285714285713,11,1.9905162903228941
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.7000000000000001,700,0.288,288,5.067121564072783,10,0.20594245368167005,0.008540925266903915,0.010888888888888889,3.0933333333333333,9,1.7003790427104448
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.75,750,0.23,230,5.711524587051453,14,0.17224278550543187,0.0038860103626943004,0.004933333333333334,2.496,8,1.5626848690634974
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.8,800,0.171,171,6.446370829033368,15,0.13700786706314344,0,0.0,2.03,7,1.4032462364104172
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.8500000000000001,850,0.112,112,7.252091377091377,16,0.10123351046169572,0,0.0,1.6933333333333334,6,1.3213461149734975
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.9,900,0.042,42,5.535423925667828,13,0.0561157069641918,0,0.0,1.34,5,1.1934822998268557
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,0.9500000000000001,950,0.007,7,2.380952380952381,5,0.018462585034013608,0,0.0,0.6,3,0.8
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,random_failures,random,,1.0,1000,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,targeted_degree,targeted,degree,0.0,0,1.0,1000,3.260036036036036,6,0.3245843176507079,0.010565090673575129,0.011135467155823192,9.97,20,3.0635110575938844
synthetic_comparison,ER_n1000_p0.01,synthetic,erdos_renyi,0,targeted_degree,targeted,degree,0.05,50,0.95,950,3.4024513338139872,6,0.3113891261357098,0.009741070685205229,0.010571942677205836,8.804210526315789,15,2.6737679224358817
